strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd6_sl3_tp0,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp10,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp15,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp20,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp0,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp10,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp15,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp20,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp0,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp10,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp15,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl3_tp20,1.0521,-25.4919,5,40.0,1.1374,1.4496,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp0,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp10,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp15,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp20,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp0,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp10,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp15,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp20,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp0,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp10,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp15,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp20,0.9107,-25.4919,4,50.0,1.6026,0.9549,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp0,0.4118,-25.4919,4,50.0,1.7369,0.428,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp10,0.4118,-25.4919,4,50.0,1.7369,0.428,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp15,0.4118,-25.4919,4,50.0,1.7369,0.428,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp20,0.4118,-25.4919,4,50.0,1.7369,0.428,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp0,0.4118,-25.4919,4,50.0,1.7369,0.428,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
