strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi20_cd24_sl3_tp10,-1.4335,-34.5747,8,25.0,2.2722,-2.3357,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl3_tp15,-1.4335,-34.5747,8,25.0,2.2722,-2.3357,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl3_tp20,-1.4335,-34.5747,8,25.0,2.2722,-2.3357,6,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl0_tp0,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl0_tp10,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl0_tp15,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl0_tp20,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl0_tp0,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl0_tp10,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl0_tp15,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl0_tp20,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl0_tp0,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl0_tp10,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl0_tp15,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl0_tp20,-5.7446,-34.5747,4,75.0,10.8922,-2.1683,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl0_tp0,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl0_tp10,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl0_tp15,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl0_tp20,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl0_tp0,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl0_tp10,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl0_tp15,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl0_tp20,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl0_tp0,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl0_tp10,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl0_tp15,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl0_tp20,-6.4932,-34.5747,4,75.0,10.8922,-2.6399,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl0_tp0,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl0_tp10,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl0_tp15,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl0_tp20,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl0_tp0,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl0_tp10,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl0_tp15,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl0_tp20,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl0_tp0,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl0_tp10,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl0_tp15,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl0_tp20,-7.3006,-34.5747,4,75.0,10.8922,-3.0235,0,0,2025-11-29 20:00:00,2026-02-21 03:00:00
